S:NO,Comment
386,ITS A PAKISTANI DISH ASWELL AS AN INDIAN
387,How long do you fry the chicken?
388,Great Chef your recipes are so easy and so delicious as well you are a great teacher thank you 👍👍👍👍
389,Can v cook with bone
390,Bhai....maine jab se aapki butter chicken recipe dekhi hai... aur jaane kitni baar banayi hai...bas isi recipe ko follow karti hoon.....soooooo easy and delicious..💯💯💯💯💯💯💯
391,"I love your accent, feels like a friend talking to me hahaah ❤"
392,❤❤❤
393,What do you prefer or is a classic side dish to eat the butter chicken ?
394,Your roughly chopped onion is my fine bro
395,Which cream did you use??
396,Such a poor marination😞
397,❤❤
398,"honestly, im a 16yrs old boy. im currently fasting rn (3 more hours left for iftar0 so i cam here to watch some food videos coz im feeling damn hungry. im not a chef and i hardly even know the things u mentioned in the video like idk something like gharam masala. IM TOO LAZY TO GO AND MAKE THIS😅🥲🥲"
399,"I made this yesterday for my family for iftar and it was an absolute hit! Everyone went for seconds and all asked for the recipe! I reduced the chilli but other than that it was perfect! Alhamdulilah<br> Thank you,  this recipe is a life long keeper 😍"
400,"Tomato paste, butter and curry powder.  Got it."
401,Your cooking is very nice
402,"I saw this recipe in 2019, and since that day i made this dish on every eid. And i must say that this recipe is truly luscious. I totally love it and also my family loved it."
403,okk
404,Good one
405,"I am 15 yr old girl , I tried this gem and it was absolutely amazing. My family loved this recipe , because of this recipe my family calls me <b>lil chef</b> Now this recipe is a must in any of our family functions or get togethers ❤ Tysm chef varun 😊"
406,I don&#39;t know if you&#39;re leaning hard into the accent for flavor to the channel or if that is how you actually talk. Either way it&#39;s hilarious.
407,Looks Tasty
408,✌🏻
409,Nice video 👍🏻❤
410,THANK YOU I LOVE YOU AND THIS DISH MMMMMMMMMMMMMMMMM YUM!!!!!!!!
411,Hnn tasty
412,"Anybody know if you can either substitute the cashews or drop them altogether (without losing out on the goodness)? I&#39;m allergic to cashews, but I&#39;m very interested in trying out this recipe."
413,"Delicious! Made a few personal adjustments the second time around. I added plain yogurt to the marinade. Also added fresh red chilis while cooking, cause I like it spicy, and shallots instead of red onion. I used unsalted chicken stock instead of water, coconut milk instead of cream, and a dash of turmeric powder. Turned out Perfect!"
414,This is so delicious 😋😋😊😊
415,Best recipe I have seen till now
416,Great
417,The recipe this very tasty nice one
418,vah bhi cream
419,Bhaiya Aaj chickenbhaiya Aaj chicken ka freebhaiya aap chicken kab ki videos kani banate
420,My mom made this it was so so good .. in our daily menu now !!
421,I simply love it and have made it a few times now. The only thing I noted was that the gravy was too much for the chicken. I just halve the gravy amount or double the chicken amount depending on how much people are going to eat. Thank you!
422,"So simply explained, I will definitely try at home. Thanks for sharing (a fan of Indian food from Turkey)"
423,"Too good...i tried n it came to be the best.... Much easy to cook, most tasty to eat .. Thank you for the video,... All the best bro!!!"
424,I used a half amount of chili powder since I prefer mild flavor. Also used half and half instead of cream.  It was the best Indian curry I have ever made. Thank you for the recipe
425,please  a traduction in franch langue
426,i think people are crazy on your recipe because they all are indian but pakistani dont love indian food but my mother tried it it is little sweeter
427,I made it yesterday without vinegar.. And it was so good in taste everyone literally loved it and the great part was i was making it for the very first time.. And it was a successful hit tysm sir...
428,"I tried this recipe today,and i swear it was so delicious 🤤.Thank you so much."
429,What did you put in the tomato sauce before the sugar?
430,Awesome
431,I made it and the family loved it.
432,Can you use paprika instead of chilli if you want it mild?
433,Alhamdulliah i made this butter Chicken from last 3 years and it is super hit In my family 🤲🏻💙
434,من سنين وانا اعتمدها وحافظه الوصفه ❤
435,Supper and easy to make really love it❤
436,nice video
437,Tasty
438,1
439,Hello chef thank you so so much I. like your recipes all of them
440,Simple and easy to make.  My children just love it. 👍
441,😋
442,what if you dont have the nut and malt vinegar
443,Super recipe I always make this and every time it is a hit thanks for the recipe
444,This a**hole is all “add oil”… like there aren’t 50 diff types of oil on earth. Olive oil? Coconut oil? Vegetable oil? Peanut oil? Who fucking knows?! Because how would you? This moron just broad strokes “oil” and might as well give you the middle finger and say “good luck f*cker”
445,Found them in the description
446,Does anyone have the quantities
447,Made your recipe thank you so much absolutely delicious 😋 family loved it ❤
448,Can I take halloumi instead of chicken?
449,Love from Pakistan loved the recipe
450,"If you value your tastebuds and stomach, use TEASPOONS of chilli powder and not tablespoons as stated in the recipe (I think there&#39;s a typo). When I followed the recipe as written, it was extremely spicy and I had to throw out the gravy. I normally love spicy food, but this gravy almost killed me and I felt betrayed by this recipe."
451,❤wow MashaAllah I love this recipe 🇮🇳💯👌👌🤏👈
452,Tasty
453,Super video. Keep making
454,🎉
455,Ppp
456,Ppp😊
457,Made it today. Really nice n easy to make.
458,If I want to make this for more people can I just double the ingredients?
459,⭐️⭐️⭐️⭐️⭐️⭐️
460,Made this. And it went down a storm. Everyone loved it.
461,Yammyyyyyyy
462,Can i skip vinegar &amp; sugar?
463,"I guess views are just coz of english language taste wise its just chicken in a  really bad tomato sauce. Sanjeev’s recipe is at-least 10 times better and ranveer’s 100 times. <br>Damn dude, you just ruined Butter Chicken. Imagine real dhaba Butter Chicken fanboys eating this; they will be traumatised for life."
464,Yessss yummmmyÿyyy
465,nige
466,I always thought there was yogurt in it.
467,How did you guys like this recipe or version compared to chef Jean-Pierre? Chef Jean-Pierre tasted quite authentic to me. I think I tried this first
468,Perfectamente explicado Gracias
469,I don’t know ki aapko hindi bolne me dikkat hai syad jada ladies gao ki hoti or English ni smj paygi 🤷🏻india me sabhi koi language pata ho ya na but hindi jarur aata hai 😊
470,I alwyz try dis recipe n guess what everytime it turned out to b very delicious<br>If our family suggest me to make butter chicken without any hesitate i jump to get curried...👍👍🌷
471,Easiest butter chicken receipe!! Also the tastiest ❤
472,Why do you not give a written recipe which shows amounts of each ingredient used?
473,Hi Varun! I made it on Sunday for my son and it came out delicious.. thanks for sharing 😊
474,Best nd easiest recipe
475,My adjustments to the recipe (due to spice level and some ingredients I don&#39;t use).<br><br>For the chicken<br>500 gms Chicken breast boneless<br>1 tbsp Ginger garlic paste<br>1/2 tsp Red chilli powder <br>Salt to taste (1/2 tsp)<br>Oil to pan fry <br><br>For the gravy<br>500 gms roughly slit tomatoes<br>100 gms roughly cut onions (1 medium onion)<br>1 tbsp garlic paste<br>1 tsp kasoori methi<br>1/2 tsp garam masala<br>1 tbsp sugar<br>3/4 tsp kashmiri chilli powder<br>5 tbsp butter<br>3 tbsp cream<br>Salt to taste (1/2 tsp)
476,"Believe in Lord  Jesus  Bro as you care us i too want to share my care towards you to be saved from all sin  ,and be with me even in heaven 💗"
477,This recipe is amazing!!! Thank you.. didn&#39;t have the  kasoori methi and is was still tasty!!
478,Great receipe 👍
479,Looks yummy 😋
480,"Best Cooking Channel in India <br><br><a href=""https://youtube.com/@cookingkefunde1078"">https://youtube.com/@cookingkefunde1078</a>"
481,Yup hate it 😂
482,"thank you, very easy to make and tasty."
483,What cream
484,Can i add almonds instead of cashews?
485,good receipe
486,I tied it it was amazing ❤❤❤❤❤
487,Easy to make
488,I made this today its amazing!!!!
489,Best recipes I have made butter chicken countless times and every time I come here to check it and it works
490,The other day i ate indian food and farted with a bad smell.
